filename,diff,gamma,#candidates,level,partisan,type,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,[],0.859216398,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden
Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,[],0.775845529,5,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,[],0.750666667,4,LOCAL,NO,R,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,['Approval'],0.783333333,3,LOCAL,NO,R,JOHANA BENCOMO,JOHANA BENCOMO,JOHANA BENCOMO,,JOHANA BENCOMO,JOHANA BENCOMO,ANTOINETTE M REYES,JOHANA BENCOMO,JOHANA BENCOMO
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,[],0.493740219,10,LOCAL,NO,E,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA
Maine_06122018_DemocraticPrimaryforCD2.csv,"['IRV', 'Condorcet', 'Approval']",0.759089005,4,FEDERAL,NO,R,"Golden, Jared F.","Golden, Jared F.","Golden, Jared F.",,"St. Clair, Lucas R.","Golden, Jared F.","St. Clair, Lucas R.","Golden, Jared F.","St. Clair, Lucas R."
x,[],0.425970152,7,STATE,DP,E,"Mills, Janet T.","Mills, Janet T.","Mills, Janet T.",,"Mills, Janet T.","Mills, Janet T.","Mills, Janet T.","Mills, Janet T.","Mills, Janet T."
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.811806656,3,STATE,DP,R,"Zager, Samuel Lewis","Zager, Samuel Lewis","Zager, Samuel Lewis",,"Grant, Benjamin K.","Grant, Benjamin K.","Grant, Benjamin K.","Zager, Samuel Lewis","Grant, Benjamin K."
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,[],0.816105769,3,STATE,DP,R,"Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.",,"Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L."
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,"['IRV', 'Condorcet', 'Approval']",0.776243094,3,STATE,DP,R,"Arford, Poppy","Arford, Poppy","Arford, Poppy",,"Perreault, Corinne Ann","Arford, Poppy","Perreault, Corinne Ann","Arford, Poppy","Perreault, Corinne Ann"
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.800394283,3,STATE,DP,R,"Crafts, Lydia V.","Crafts, Lydia V.","Crafts, Lydia V.",,"Pieh, Wendy","Pieh, Wendy","Pieh, Wendy","Crafts, Lydia V.","Pieh, Wendy"
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.781368103,3,STATE,DP,R,"Curry, Glenn Chip","Curry, Glenn Chip","Curry, Glenn Chip",,"Stanicki, Robyn M.","Stanicki, Robyn M.","Stanicki, Robyn M.","Curry, Glenn Chip","Stanicki, Robyn M."
