filename,diff,gamma,#candidates,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Oakland_11082016_SchoolDirectorDistrict5.csv,[],0.777935996,4,ROSIE TORRES,ROSIE TORRES,HUBER TRENADO,,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
Oakland_11082022_CityCouncilmemberDistrict6.csv,[],0.538399244,4,KEVIN JENKINS,KEVIN JENKINS,KEVIN JENKINS,,KEVIN JENKINS,KEVIN JENKINS,KEVIN JENKINS,KEVIN JENKINS,KEVIN JENKINS
PierceCounty_11042008_CountyExecutiveMember.csv,[],0.704945053,4,Pat McCarthy,Pat McCarthy,Shawn Bunney,,Pat McCarthy,Shawn Bunney,Pat McCarthy,Pat McCarthy,Pat McCarthy
SanFrancisco_11022004_BoardofSupervisorsDistrict3.csv,[],0.553715499,4,Arron Peskin,Arron Peskin,Arron Peskin,,Arron Peskin,Arron Peskin,Arron Peskin,Arron Peskin,Arron Peskin
SanFrancisco_11022010_BoardofSupervisorsDistrict8.csv,[],0.70586553,4,SCOTT WIENER,SCOTT WIENER,SCOTT WIENER,,SCOTT WIENER,SCOTT WIENER,SCOTT WIENER,SCOTT WIENER,SCOTT WIENER
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,[],0.86804892,4,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI,,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI,AHSHA SAFAI
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT3.csv,[],0.653344857,4,AARON PESKIN,AARON PESKIN,AARON PESKIN,,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT5.csv,[],0.556990482,4,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON
SanFrancisco_11052019_DistrictAttorney.csv,"['IRV', 'Condorcet']",0.636196335,4,CHESA BOUDIN,CHESA BOUDIN,CHESA BOUDIN,,SUZY LOFTUS,CHESA BOUDIN,SUZY LOFTUS,SUZY LOFTUS,SUZY LOFTUS
SanFrancisco_11052019_MemberBoardofSupervisorsDistrict5.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.788707431,4,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,,VALLIE BROWN,VALLIE BROWN,VALLIE BROWN,DEAN PRESTON,VALLIE BROWN
