filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance
SanFrancisco_11032015_BoardofSupervisorsDistrict3.csv,NO,LOCAL,B,3,3,0.855184387,0.81483477,66.9480364,64.26604406,43.41475096,,,0.909315126,4.899652759,0.909315126,0.999912975,0.084170266,0.926926927
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT1.csv,NO,LOCAL,B,7,7,0.436603335,0.430897912,75.5109954,75.50545616,65.62621171,51.2518695,45.33318562,0.786477747,1.3918658,0.76952738,0.999915818,0.939454235,0.48048048
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT3.csv,NO,LOCAL,B,4,4,0.653344857,0.663993086,88.8781331,80.90579084,65.11322385,59.70613656,,0.524707543,5.14681538,0.548061239,0.999908867,0.173528689,0.435435435
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT5.csv,NO,LOCAL,B,4,4,0.573826948,0.561486583,85.16047257,78.57655331,69.79719711,63.15827235,,0.296971526,5.995710049,0.296971526,0.999935737,0.316204348,0.432432432
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT7.csv,NO,LOCAL,B,7,7,0.353935579,0.32177577,71.02317435,69.1626266,66.42891591,59.42330634,58.59583217,0.454556727,2.697408941,0.556506482,0.999893877,0.835789389,1.279279279
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT9.csv,NO,LOCAL,B,2,3,1,1,99.79846285,0.222032451,,,,0.997732383,,,,,
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,NO,LOCAL,B,4,3,0.86804892,0.883941652,88.250844,85.85897191,72.58424103,0.095547487,,0.199520017,8.743935009,0.199520017,0.999937664,0.991212646,0.135135135
SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,NO,LOCAL,B,9,3,,0.62565899,63.60294118,59.82935627,56.38526637,13.67924528,10.69298002,0.401803642,1.992041553,0.401803642,0.999931829,0.69382954,0.376376376
SanFrancisco_11042008_BoardofSupervisorsDistrict3.csv,NO,LOCAL,B,9,3,,0.527352618,57.96777737,43.5737825,41.18637862,31.3145368,20.60783596,0.263457011,4.41687813,0.273105854,0.999906507,0.119572462,1.409409409
SanFrancisco_11042008_BoardofSupervisorsDistrict4.csv,NO,LOCAL,B,3,3,0.826714679,0.826714679,81.36698713,75.91126813,62.24819105,,,0.529531013,3.232637331,0.529531013,0.999932341,0.642365551,0.356356356
SanFrancisco_11042008_BoardofSupervisorsDistrict5.csv,NO,LOCAL,B,3,3,0.913368143,0.834231655,92.76570659,62.16944585,54.94638145,,,0.789509768,4.634606131,0.789509768,0.999943304,0.564779619,0.358358358
SanFrancisco_11042008_BoardofSupervisorsDistrict7.csv,NO,LOCAL,B,3,3,0.895594487,0.895594487,91.4530465,56.68878011,53.04006183,,,0.712072659,4.686426899,0.712072659,0.999959384,0.4517891,0.778778779
SanFrancisco_11042008_BoardofSupervisorsDistrict9.csv,NO,LOCAL,B,7,3,0.607944083,0.586374056,72.79696366,70.44831085,61.84660479,23.19341626,14.08064334,0.289114151,7.020187701,0.539967331,0.999869554,0.491829948,1.951951952
SanFrancisco_11042008_BoardofSupervisorsDistrict11.csv,NO,LOCAL,B,9,3,,0.582071521,51.31282216,47.24548969,45.68701675,40.27464562,31.59632732,0.97079396,3.089149073,0.296425311,0.999880139,0.576425221,0.250179168
SanFrancisco_11042014_BoardofSupervisorsDistrict10.csv,NO,LOCAL,B,5,3,0.708902557,0.596309485,68.77306572,52.04273228,40.07122046,29.48527031,25.03075429,0.72588488,2.180734852,0.614490498,0.999887514,0.552025469,0.756756757
SanFrancisco_11052004_BoardofSupervisorsDistrict1.csv,NO,LOCAL,B,7,3,0.549935735,0.639837427,60.3362629,56.37266822,48.40031959,28.28707403,26.08469101,0.176362001,3.578082451,0.176362001,0.999916065,0.406145685,0.36036036
SanFrancisco_11052019_MemberBoardofSupervisorsDistrict5.csv,NO,LOCAL,B,4,4,0.800312276,0.765244546,71.50272186,70.87395029,33.74688779,30.2316749,,0.47416518,2.673852514,0.47416518,0.999934028,0.904963427,0.657657658
SanFrancisco_11062012_BoardofSupervisorsDistrict5.csv,NO,LOCAL,B,8,3,,0.599841207,50.98678614,42.60193955,42.50269381,40.84103669,39.59054046,0.160556572,5.45327354,0.119963031,0.999937016,0.048012246,0.903903904
SanFrancisco_11062012_BoardofSupervisorsDistrict7.csv,NO,LOCAL,B,9,3,,0.55483912,53.18743449,53.04767652,40.27888067,34.62821205,19.75351777,0.360259538,2.238887367,0.43147198,0.999917945,0.891184352,0.672672673
SanFrancisco_11062018_BoardofSupervisorsDistrict2.csv,NO,LOCAL,B,4,3,0.717024887,0.669570136,74.85011312,67.61595023,54.45984163,28.07409502,,0.527754808,4.937401412,0.527754808,0.999935496,0.17237519,1.543543544
SanFrancisco_11062018_BoardofSupervisorsDistrict4.csv,NO,LOCAL,B,8,3,,0.607669099,58.10763402,48.73701937,36.19842829,27.5715689,21.90920573,0.147640527,4.807037631,0.152901954,0.999919413,0.322092762,1.534534535
SanFrancisco_11062018_BoardofSupervisorsDistrict6.csv,NO,LOCAL,B,3,3,0.794535131,0.794535131,85.86467944,70.9171201,67.36850406,,,0.724325859,3.862230543,0.724325859,0.999921991,0.961696457,0.692692693
SanFrancisco_11062018_BoardofSupervisorsDistrict8.csv,NO,LOCAL,B,2,3,1,1,96.35861675,31.9989528,,,,0.785706078,,,,,
SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,NO,LOCAL,B,6,3,0.665677675,0.649552804,68.49415205,54.30426557,48.48211214,30.24595803,17.94375645,0.289952688,5.731215401,0.37295317,0.999905962,0.703298625,0.930930931
SanFrancisco_11072006_BoardofSupervisorsDistrict2.csv,NO,LOCAL,B,2,3,1,1,88.7986298,35.63494005,,,,0.90675487,,,,,
SanFrancisco_11072006_BoardofSupervisorsDistrict4.csv,NO,LOCAL,B,6,3,0.58363618,0.710226126,52.95275591,51.79184333,49.08136483,44.99293358,27.08964264,0.184073366,4.088002758,0.202027907,0.999892334,0.213191848,0.935935936
SanFrancisco_11072006_BoardofSupervisorsDistrict6.csv,NO,LOCAL,B,8,3,,0.738699069,60.71567917,55.75497464,22.26185831,16.93885514,15.38375787,0.339426845,12.69401232,0.545017118,0.999902941,0.219985945,0.35035035
SanFrancisco_11072006_BoardofSupervisorsDistrict8.csv,NO,LOCAL,B,3,3,0.925141109,0.921735566,84.50477722,61.7349352,35.43657175,,,0.5947272,2.267394963,0.625234985,0.999960633,0.933723273,0.126126126
SanFrancisco_11072006_BoardofSupervisorsDistrict10.csv,NO,LOCAL,B,7,3,0.618139925,0.702625332,71.74277336,30.57533864,30.53344505,28.13154587,25.08727831,0.070721294,6.268770365,0.333035624,0.999862524,0.087561294,2.372372372
SanFrancisco_11082016_BoardofSupervisorsDistrict1.csv,NO,LOCAL,B,10,3,,0.637430396,66.11193255,62.37770158,43.00500204,13.34507818,12.03322113,0.541057906,2.543846273,0.523727419,0.99992381,0.027911068,1.072072072
SanFrancisco_11082016_BoardofSupervisorsDistrict3.csv,NO,LOCAL,B,2,3,1,1,84.45269434,55.93055087,,,,0.863860792,,,,,
