ballotID,ward,rank1,rank2,rank3,rank4
301,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
302,400,Talisha Searcy,skipped,skipped,skipped
303,300,Talisha Searcy,skipped,skipped,skipped
304,400,Talisha Searcy,Seth Grimes,skipped,skipped
305,300,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
306,100,Talisha Searcy,Jarrett Smith,skipped,skipped
307,500,Talisha Searcy,Seth Grimes,skipped,Jarrett Smith
308,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
309,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
310,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
311,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
312,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
313,100,Jarrett Smith,Seth Grimes,skipped,skipped
314,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
315,300,Talisha Searcy,Jarrett Smith,skipped,skipped
316,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
317,100,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
318,200,Seth Grimes,Talisha Searcy,skipped,skipped
319,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
320,300,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
321,300,Jarrett Smith,Seth Grimes,skipped,skipped
322,100,Jarrett Smith,Seth Grimes,skipped,skipped
323,500,Talisha Searcy,skipped,skipped,skipped
324,300,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
325,400,Talisha Searcy,skipped,skipped,skipped
326,300,Jarrett Smith,Talisha Searcy,skipped,skipped
327,300,Talisha Searcy,skipped,skipped,skipped
328,200,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
329,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
330,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
331,100,Talisha Searcy,Seth Grimes,skipped,skipped
332,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
333,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
334,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
335,400,Jarrett Smith,skipped,skipped,skipped
336,300,Jarrett Smith,Talisha Searcy,skipped,skipped
337,300,Talisha Searcy,Seth Grimes,skipped,skipped
338,200,Jarrett Smith,Talisha Searcy,skipped,skipped
339,400,Seth Grimes,skipped,skipped,skipped
340,600,Talisha Searcy,skipped,skipped,skipped
341,600,Seth Grimes,Jarrett Smith,Talisha Searcy,WRITE-IN17
342,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
343,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
344,200,Talisha Searcy,skipped,skipped,skipped
345,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
346,200,Talisha Searcy,skipped,skipped,skipped
347,500,Talisha Searcy,skipped,skipped,skipped
348,400,Talisha Searcy,skipped,skipped,skipped
349,200,Jarrett Smith,Jarrett Smith,skipped,skipped
350,100,Jarrett Smith,skipped,skipped,skipped
351,400,Seth Grimes,Jarrett Smith,skipped,skipped
352,300,Talisha Searcy,skipped,skipped,skipped
353,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
354,100,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
355,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
356,100,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
357,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
358,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
359,500,Talisha Searcy,Seth Grimes,WRITE-IN19,skipped
360,300,Seth Grimes,Jarrett Smith,WRITE-IN21,skipped
361,400,Talisha Searcy,skipped,skipped,skipped
362,300,Talisha Searcy,skipped,skipped,skipped
363,300,Jarrett Smith,Talisha Searcy,skipped,skipped
364,500,Seth Grimes,Jarrett Smith,skipped,skipped
365,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
366,500,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
367,100,Jarrett Smith,Talisha Searcy,skipped,skipped
368,400,Talisha Searcy,skipped,skipped,skipped
369,300,Jarrett Smith,Seth Grimes,WRITE-IN23,skipped
370,500,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
371,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
372,200,Talisha Searcy,skipped,skipped,skipped
373,200,Jarrett Smith,Talisha Searcy,skipped,skipped
374,400,WRITE-IN26,Talisha Searcy,Jarrett Smith,Seth Grimes
375,500,Seth Grimes,skipped,skipped,skipped
376,600,Seth Grimes,skipped,skipped,skipped
377,300,Seth Grimes,skipped,skipped,skipped
378,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
379,100,Seth Grimes,Jarrett Smith,skipped,skipped
380,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
381,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
382,200,Seth Grimes,skipped,skipped,skipped
383,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
384,100,Talisha Searcy,skipped,skipped,skipped
385,200,Seth Grimes,skipped,skipped,skipped
386,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
387,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
388,500,Talisha Searcy,skipped,skipped,skipped
389,200,WRITE-IN28,skipped,skipped,skipped
390,400,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
391,200,Jarrett Smith,skipped,skipped,skipped
392,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
393,100,Talisha Searcy,Seth Grimes,skipped,skipped
394,200,Seth Grimes,skipped,skipped,skipped
395,600,Talisha Searcy,skipped,skipped,skipped
396,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
397,500,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
398,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
399,500,Jarrett Smith,Seth Grimes,skipped,skipped
400,400,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
401,600,Talisha Searcy,skipped,skipped,skipped
402,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
403,100,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
404,300,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
405,200,Seth Grimes,Talisha Searcy,skipped,skipped
406,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
407,100,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
408,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
409,100,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
410,100,Talisha Searcy,skipped,skipped,skipped
411,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
412,500,Seth Grimes,skipped,skipped,skipped
413,300,Talisha Searcy,Jarrett Smith,WRITE-IN30,skipped
414,300,Talisha Searcy,Jarrett Smith,WRITE-IN31,skipped
415,300,Talisha Searcy,Jarrett Smith,skipped,skipped
416,200,Seth Grimes,Jarrett Smith,WRITE-IN32,skipped
417,400,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
418,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
419,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
420,100,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
421,200,Talisha Searcy,Jarrett Smith,WRITE-IN33,skipped
422,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
423,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
424,100,Talisha Searcy,Seth Grimes,Talisha Searcy,Seth Grimes
425,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
426,100,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
427,100,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
428,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
429,200,Talisha Searcy,Seth Grimes,WRITE-IN35,skipped
430,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
431,400,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
432,300,Jarrett Smith,skipped,skipped,skipped
433,400,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
434,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
435,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
436,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
437,400,Seth Grimes,Jarrett Smith,skipped,skipped
438,500,Jarrett Smith,skipped,skipped,skipped
439,300,Jarrett Smith,Talisha Searcy,skipped,skipped
440,200,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
441,200,Seth Grimes,Talisha Searcy,skipped,skipped
442,100,Jarrett Smith,skipped,skipped,skipped
443,400,Seth Grimes,skipped,skipped,skipped
444,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
445,400,Jarrett Smith,skipped,skipped,skipped
446,500,Jarrett Smith,skipped,skipped,skipped
447,200,Jarrett Smith,skipped,skipped,skipped
448,100,Jarrett Smith,Talisha Searcy,skipped,skipped
