Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
114,114,LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,0,1.0,E,10,0,,0.341229193,73.51685873,62.39863423,55.00782473,47.68103571,47.31825295,0.7856147382880516
115,115,Maine_06122018_DemocraticPrimaryforCD2.csv,1,3.0,R,4,5,0.694512424,0.676191106,81.94104548,79.38796658,57.80364663,41.8325727,,0.5487967205799691
116,116,Maine_06122018_DemocraticPrimaryforGovernor.csv,1,2.0,E,7,8,0.303228417,0.311638646,79.81703785,74.06237851,70.53404953,69.47880384,51.26907178,0.6103496944570899
117,117,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,1,2.0,R,3,3,0.839540412,0.788431062,90.68938193,88.07448494,77.81299525,,,0.5530583768437005
118,118,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,1,2.0,R,3,3,0.794471154,0.794471154,88.10096154,85.53685897,82.8525641,,,0.4287264286539972
119,119,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,1,2.0,R,3,3,0.775322284,0.735267035,86.32596685,82.18232044,81.30755064,,,0.6238915623066962
120,120,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,1,2.0,R,3,3,0.872350912,0.77821587,88.86150813,87.38294726,77.13159192,,,0.5338136670460417
121,121,Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,1,2.0,R,3,3,0.790816327,0.749433107,89.1723356,82.61526833,82.52078609,,,0.4965359992896262
122,122,Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,1,3.0,R,3,3,0.848793606,0.848793606,80.46096739,70.9158744,66.50695049,,,0.4687008720857522
123,123,Maine_11062018_CongressionalDistrict2.csv,1,3.0,R,4,5,0.784114369,0.791052184,65.35504172,62.19459657,45.35669604,41.27327683,,0.9172994902415582
124,124,Maine_11082022_CongressionalDistrict2.csv,1,3.0,R,3,4,0.934384502,0.934384502,63.40318694,62.49952688,49.72369766,,,0.9107659132061784
125,125,Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0,1.0,R,12,3,,0.685729072,38.87954457,32.09988356,25.13908656,19.92495795,15.50006469,0.2221051433858901
126,126,Minneapolis_11022021_CityCouncilWard1.csv,0,1.0,R,4,3,0.890309026,0.7501532,68.89608684,68.30955091,32.96857218,13.61288628,,0.4625828597731914
127,127,Minneapolis_11022021_CityCouncilWard2.csv,0,1.0,R,5,3,0.708118895,0.762524945,62.03129923,57.86156916,54.09095683,38.15775654,9.190211112,0.5945746966357838
128,128,Minneapolis_11022021_CityCouncilWard3.csv,0,1.0,R,4,3,0.834935416,0.789726645,68.30129168,55.95524181,43.03844998,19.60799039,,0.4896005002890533
129,129,Minneapolis_11022021_CityCouncilWard4.csv,0,1.0,R,3,3,0.960789728,0.823415712,80.87808919,57.97321552,38.83749827,,,0.6349301648337218
130,130,Minneapolis_11022021_CityCouncilWard5.csv,0,1.0,R,7,3,0.693978102,0.570985401,54.12408759,50.65693431,44.9270073,22.51824818,20.51094891,0.3502889777141063
131,131,Minneapolis_11022021_CityCouncilWard6.csv,0,1.0,R,2,3,1.0,1.0,70.11365455,56.3310389,,,,0.9353076996219184
132,132,Minneapolis_11022021_CityCouncilWard7.csv,0,1.0,R,4,3,0.792345487,0.886733902,74.69183691,43.4186708,32.9195759,24.58408758,,0.5563678548958618
133,133,Minneapolis_11022021_CityCouncilWard8.csv,0,1.0,R,2,3,1.0,1.0,88.29827554,18.55220769,,,,0.977299239247656
134,134,Minneapolis_11022021_CityCouncilWard9.csv,0,1.0,R,8,3,,0.731010766,67.88277512,33.59748804,24.85047847,19.39294258,18.39114833,0.6126883411237125
135,135,Minneapolis_11022021_CityCouncilWard10.csv,0,1.0,R,6,3,0.727170131,0.787360105,56.44691056,53.32455563,46.52496943,33.96031224,26.53061224,0.3614129153917952
136,136,Minneapolis_11022021_CityCouncilWard11.csv,0,1.0,R,5,3,0.808055098,0.81561611,75.55023207,48.36801916,24.18026651,19.70354844,13.63228028,0.4176487257110046
137,137,Minneapolis_11022021_CityCouncilWard12.csv,0,1.0,R,3,3,0.962597911,0.962597911,80.92689295,50.50261097,27.30417755,,,0.4534951121861119
138,138,Minneapolis_11022021_CityCouncilWard13.csv,0,1.0,R,5,3,0.876708999,0.87354925,81.06580786,47.65145531,21.35261591,14.92374066,13.58084706,0.7562499966327998
139,139,Minneapolis_11022021_Mayor.csv,0,1.0,E,18,3,,0.725366599,55.95385364,47.84349156,41.35798179,19.68378623,12.35249149,0.2445695960387069
140,140,Minneapolis_11022021_ParkBoardAtLarge.csv,0,1.0,B,7,3,0.596266913,0.547817812,50.34296913,38.59344967,35.05069159,34.39019334,25.04993781,0.4821884699243478
142,142,Minneapolis_11022021_ParkBoardDistrict2.csv,0,1.0,B,3,3,0.829797134,0.806625721,67.43904709,64.4332775,62.81407035,,,0.6418051244938472
143,143,Minneapolis_11022021_ParkBoardDistrict3.csv,0,1.0,B,3,3,0.903329824,0.903329824,72.38088971,44.30771256,40.2276915,,,0.7809889932699048
144,144,Minneapolis_11022021_ParkBoardDistrict4.csv,0,1.0,B,2,3,1.0,1.0,74.77126222,56.59180703,,,,0.904336453023852
145,145,Minneapolis_11022021_ParkBoardDistrict5.csv,0,1.0,B,3,3,0.917492352,0.868590475,78.2384366,54.59568056,36.30884435,,,0.6893331272078373
146,146,Minneapolis_11022021_ParkBoardDistrict6.csv,0,1.0,B,4,3,0.750388294,0.740292651,57.66369656,54.08321753,45.28733753,44.93174201,,0.5943681128939649
147,147,Minneapolis_11052013_Mayor.csv,0,1.0,E,35,3,,0.514412054,62.51480259,51.45758271,42.02927763,22.49615763,18.82133589,0.0362112933785169
